1,Blanche-Neige et les Sept Nains,83,1937,https://www.disneyplus.com/fr-fr/movies/blanche-neige-et-les-sept-nains/7X592hsrOB4X
2,Pinocchio,88,1940,https://www.disneyplus.com/fr-fr/movies/pinocchio/3awzEJp1S6xg
3,Fantasia,125,1940,https://www.disneyplus.com/fr-fr/movies/fantasia/7lt6sjm8nbud
4,Dumbo,64,1941,https://www.disneyplus.com/fr-fr/movies/dumbo/3lAXKmGUOnjh
5,Bambi,70,1942,https://www.disneyplus.com/fr-fr/movies/bambi/2s64jMJasyNO
6,Saludos Amigos,42,1942,https://www.disneyplus.com/fr-fr/movies/saludos-amigos/1xYJxc5omEIJ
7,Les Trois Caballeros,71,1944,https://www.disneyplus.com/fr-fr/movies/trois-caballeros/6WyetrsbzAf6
8,La Boite a musique,75,1946,AUCUN LIEN
9,Melodie du Sud,94,1946,AUCUN LIEN
10,Coquins de printemps,76,1947,https://www.disneyplus.com/fr-fr/movies/coquin-de-printemps/678vwqIHSRuB
11,Melodie Cocktail,75,1948,https://www.disneyplus.com/fr-fr/movies/melodie-cocktail/37ZsAjhITfuG
12,"Danny, le petit mouton noir",82,1948,AUCUN LIEN
13,Le Crapaud et le Maitre d'ecole,68,1949,https://www.disneyplus.com/fr-fr/movies/le-crapaud-et-le-maitre-decole/74sGKrq2Gm6j
14,Cendrillon,74,1950,https://www.disneyplus.com/fr-fr/movies/cendrillon/VJPw3bEy9iHj
15,Alice au pays des merveilles,75,1951,https://www.disneyplus.com/fr-fr/movies/alice-au-pays-des-merveilles/2l0X3WdCxQ4F
16,Peter Pan,76,1953,https://www.disneyplus.com/fr-fr/movies/peter-pan/20a1PB36VPVF
17,La Belle et le Clochard,75,1955,https://www.disneyplus.com/fr-fr/movies/la-belle-et-le-clochard/5C1EXtD5Z5xv
18,La Belle au bois dormant,75,1959,https://www.disneyplus.com/fr-fr/movies/la-belle-au-bois-dormant/1rc2EavpNV7U
19,Les 101 Dalmatiens,79,1961,https://www.disneyplus.com/fr-fr/movies/les-101-dalmatiens/7NOwGGV7R7kE
20,Merlin l'Enchanteur,80,1963,https://www.disneyplus.com/fr-fr/movies/merlin-lenchanteur/1roEKWSIkRLe
21,Mary Poppins,140,1964,https://www.disneyplus.com/fr-fr/movies/mary-poppins/3P3waOoBmUdm
22,Le Livre de la jungle,78,1967,https://www.disneyplus.com/fr-fr/movies/le-livre-de-la-jungle/5trzAb4Rz3F9
23,Les Aristochats,78,1970,https://www.disneyplus.com/fr-fr/movies/les-aristochats/6bJkap2npPJr
24,L'Apprentie sorciere,139,1971,https://www.disneyplus.com/fr-fr/movies/lapprentie-sorciere/1g2R5E8uFZqt
25,Robin des Bois,83,1973,https://www.disneyplus.com/fr-fr/movies/robin-des-bois/5ACMz1bJJwwZ
26,Les Aventures de Winnie l'ourson,74,1977,https://www.disneyplus.com/fr-fr/movies/les-aventures-de-winnie-lourson/6PbecLLcSZQ0
27,Les Aventures de Bernard et Bianca,77,1977,https://www.disneyplus.com/fr-fr/movies/les-aventures-de-bernard-et-bianca/5Zm5KWEB4rVz
28,Peter et Elliot le dragon,134,1977,https://www.disneyplus.com/fr-fr/movies/peter-et-elliott-le-dragon/6QY3Yg4hO1QO
29,Rox et Rouky,83,1981,https://www.disneyplus.com/fr-fr/movies/rox-et-rouky/1HBsgp6COqZe
30,Taram et le Chaudron magique,80,1985,https://www.disneyplus.com/fr-fr/movies/taram-et-le-chaudron-magique/58hUfxGKzVno
31,"Basil, detective prive",73,1986,https://www.disneyplus.com/fr-fr/movies/basil-detective-prive/6IKL5oydEZzl
32,Qui veut la peau de Roger Rabbit,104,1988,https://www.disneyplus.com/fr-fr/movies/qui-veut-la-peau-de-roger-rabbit/20GDm8DYpIsC
33,Oliver et Compagnie,72,1988,https://www.disneyplus.com/fr-fr/movies/oliver-et-compagnie/1iN3xPQub19P
34,La Petite Sirene,82,1989,https://www.disneyplus.com/fr-fr/movies/la-petite-sirene/5MpPFhS8FTXh
35,"La Bande a Picsou, le film : Le Tresor de la lampe perdu",74,1990,https://www.disneyplus.com/fr-fr/movies/la-bande-a-picsou-le-film-le-tresor-de-la-lampe-perdue/7loUkd1trYEj
36,Bernard et Bianca au pays des kangourous ,74,1990,https://www.disneyplus.com/fr-fr/movies/bernard-et-bianca-au-pays-des-kangourous/2PADbLhnZ6SH
37,La Belle et la Bete,84,1991,https://www.disneyplus.com/fr-fr/movies/la-belle-et-la-bete/3oEh78YRc9VN
38,Aladdin,90,1992,https://www.disneyplus.com/fr-fr/movies/aladdin/2SngByljXESE
39,L'Etrange Noel de monsieur Jack,76,1993,https://www.disneyplus.com/fr-fr/movies/letrange-noel-de-monsieur-jack/5GjwOj5Rkpz2
40,Le Retour de Jafar,67,1994,https://www.disneyplus.com/fr-fr/movies/le-retour-de-jafar/3a7AbdVtMz01
41,Le Roi lion,89,1994,https://www.disneyplus.com/fr-fr/movies/le-roi-lion/1HqwiEcje6Nj
42,Dingo et Max,78,1995,https://www.disneyplus.com/fr-fr/movies/dingo-et-max/3fo2pP85XXvo
43,Pocahontas : une legende indienne ,81,1995,https://www.disneyplus.com/fr-fr/movies/pocahontas/2WjLTJt9dM5C
44,Toy Story,81,1995,https://www.disneyplus.com/fr-fr/movies/toy-story/1Ye1nzUgtF7d
45,Le Bossu de Notre-Dame,90,1996,https://www.disneyplus.com/fr-fr/movies/le-bossu-de-notre-dame/796BIJb9AlES
46,Aladdin et le Roi des voleurs,78,1996,https://www.disneyplus.com/fr-fr/movies/aladdin-et-le-roi-des-voleurs/1WGpvE9OedoC
47,Hercule,93,1997,https://www.disneyplus.com/fr-fr/movies/hercule/2e02rZ2TfE0f
48,Winnie l'ourson 2 : Le Grand Voyage,70,1997,https://www.disneyplus.com/fr-fr/movies/winnie-lourson-2-le-grand-voyage/56vBjCYkjOI3
49,La Belle et la Bete 2 : Le Noel enchante,80,1997,https://www.disneyplus.com/fr-fr/movies/la-belle-et-la-bete-2-le-noel-enchante/4OcpHSrxMFs0
50,Mulan,88,1998,https://www.disneyplus.com/fr-fr/movies/mulan/85wmj4hahA0B
51,Pocahontas 2 : Un monde nouveau,72,1998,https://www.disneyplus.com/fr-fr/movies/pocahontas-2-un-monde-nouveau/2vSFkkgsVKrG
52,Le Roi lion 2 : L'Honneur de la tribu,75,1998,https://www.disneyplus.com/fr-fr/movies/le-roi-lion-ii-lhonneur-de-la-tribu/7EMejJ1F00Pn
53,1001 pattes,97,1998,https://www.disneyplus.com/fr-fr/movies/1001-pattes/2kV0c48TF0Ea
54,Tarzan,88,1999,https://www.disneyplus.com/fr-fr/movies/tarzan/1aKEyYDmGDLb
55,Toy Story 2,85,1999,https://www.disneyplus.com/fr-fr/movies/toy-story-2/6eunXQzaXkGr
56,Fantasia 2000,74,1999,https://www.disneyplus.com/fr-fr/movies/fantasia-2000/5DG1yXGiy3m5
57,Les Aventures de Tigrou,75,2000,https://www.disneyplus.com/fr-fr/movies/les-aventures-de-tigrou/PyKGhDOvU0z2
58,Dingo et Max 2 : Les Sportifs de l'extreme,79,2000,https://www.disneyplus.com/fr-fr/movies/dingo-et-max-2-les-sportifs-de-lextreme/ip3un6dWnPcq
59,Dinosaure,90,2000,https://www.disneyplus.com/fr-fr/movies/dinosaure/4Y8JDyEGYTkL
60,La Petite Sirene 2 : Retour a l'ocean,72,2000,https://www.disneyplus.com/fr-fr/movies/la-petite-sirene-2-retour-a-locean/6RDBhfjwO85E
61,"Kuzco, l'empereur megalo",79,2000,https://www.disneyplus.com/fr-fr/movies/kuzco-lempereur-megalo/3jFGExhfWgxg
62,La Belle et le Clochard 2 : L'appel de la rue,70,2001,https://www.disneyplus.com/fr-fr/movies/la-belle-et-le-clochard-2-lappel-de-la-rue/14I8ttoFXG1m
63,"Atlantide, l'empire perdu",85,2001,https://www.disneyplus.com/fr-fr/movies/atlantide-lempire-perdu/20bTDjr36sfj
64,Monstres & Cie,92,2001,https://www.disneyplus.com/fr-fr/movies/monstres-cie/5vQuMGjgTZz5
65,Peter Pan 2 : Retour au Pays imaginaire ,73,2002,https://www.disneyplus.com/fr-fr/movies/peter-pan-2-retour-au-pays-imaginaire/5gkky7Pmt6MQ
66,Cendrillon 2 : Une vie de princesse,70,2002,https://www.disneyplus.com/fr-fr/movies/cendrillon-2-une-vie-de-princesse/4vT55JIzkIMC
67,Le Bossu de Notre-Dame 2 : Le Secret de Quasimodo,63,2002,https://www.disneyplus.com/fr-fr/movies/le-bossu-de-notre-dame-ii-le-secret-de-quasimodo/5MDd0svIEE4s
68,Lilo et Stitch,85,2002,https://www.disneyplus.com/fr-fr/movies/lilo-et-stitch/1KQztXx3gPGi
69,La Planete au tresor,95,2002,https://www.disneyplus.com/fr-fr/movies/la-planete-au-tresor/585wgaX2A7G8
70,101 Dalmatiens 2 : Sur la trace des heros,73,2002,https://www.disneyplus.com/fr-fr/movies/101-dalmatiens-2-sur-la-trace-des-heros/772r544Ytu2C
71,Le Livre de la jungle 2,75,2003,https://www.disneyplus.com/fr-fr/movies/le-livre-de-la-jungle-2/JjJPVYKgcLwr
72,Les Aventures de Porcinet,75,2003,https://www.disneyplus.com/fr-fr/movies/les-aventures-de-porcinet/4T3kOmfQuu83
73,Les Enigmes de l'Atlantide,77,2003,https://www.disneyplus.com/fr-fr/movies/les-enigmes-de-latlantide/4Na8bOSQ3Vp0
74,Le Monde de Nemo,101,2003,https://www.disneyplus.com/fr-fr/movies/le-monde-de-nemo/5Gpj2XqF7BV2
75,Stitch ! le film (prologue serie),64,2003,https://www.disneyplus.com/fr-fr/movies/stitch-le-film/AGsnnHGwLzVT
76,Frere des ours,85,2003,https://www.disneyplus.com/fr-fr/movies/frere-des-ours/2asiYJlL0GMa
77,Le Roi lion 3 : Hakuna Matata,77,2004,https://www.disneyplus.com/fr-fr/movies/le-roi-lion-3-hakuna-matata/2DCxbUBkW3dc
78,Les Aventures de Petit Gourou,65,2004,https://www.disneyplus.com/fr-fr/movies/les-aventures-de-petit-gourou/2Aqm3rkSoYKV
79,La ferme se rebelle,76,2004,https://www.disneyplus.com/fr-fr/movies/les-aventures-de-petit-gourou/2Aqm3rkSoYKV
80,"Mickey, Donad, Dingo : Les Trois Mousquetaires",65,2004,https://www.disneyplus.com/fr-fr/movies/les-trois-mousquetaires/63Rf2h1fwlIO
